odsCode,name,grouping
Y06488,NEWMEDICA DERBY AND DERBYSHIRE,RFS
Y06926,DCHS COMMUNITY SERVICES,RFS
Y06927,DCHS URGENT TREATMENT CENTRE,RFS
Y07223,UHDB IMPACT RESPIRATORY SERVICE,RFS
Y07224,INTEGRATED DIABETES SERVICE,RFS
Y07251,DCHS POST COVID ASSESSMENT SERVICE,RFS
Y07327,TEAM UP DERBYSHIRE DALES,RFS
Y07401,CAMHS,RFS
C81060,WOODVILLE SURGERY,RFS
C81061,LITTLEWICK MEDICAL CENTRE,RFS
C81062,HANNAGE BROOK MEDICAL CENTRE,RFS
C81063,THORNBROOK SURGERY,RFS
C81064,PARK FARM MEDICAL CENTRE,RFS
C81065,BUXTON MEDICAL PRACTICE,RFS
C81066,OVERDALE MEDICAL PRACTICE,RFS
C81067,CHATSWORTH ROAD MEDICAL CENTRE,RFS
C81068,CHAPEL STREET MEDICAL CENTRE,RFS
C81069,RIVERSDALE SURGERY,RFS
C81070,OAKHILL MEDICAL PRACTICE,RFS
C81071,OSMASTON SURGERY,RFS
C81072,LISTER HOUSE SURGERY,RFS
C81073,MACKLIN STREET SURGERY,RFS
C81074,ELMWOOD MEDICAL CENTRE,RFS
C81075,BRAILSFORD & HULLAND MEDICAL PRACTICE,RFS
C81076,TIDESWELL SURGERY,RFS
C81077,HOWARD STREET MEDICAL PRACTICE,RFS
C81080,GOYT VALLEY MEDICAL PRACTICE,RFS
C81081,MANOR HOUSE SURGERY,RFS
C81082,HARTINGTON SURGERY,RFS
C81083,WEST PARK SURGERY,RFS
C81084,INSPIRE HEALTH,RFS
C81086,THE SURGERY CLIFTON ROAD,RFS
C81087,HAVEN MEDICAL CENTRE,RFS
C81089,STUBLEY MEDICAL CENTRE,RFS
C81090,ILKESTON HEALTH CENTRE,RFS
C81091,KILLAMARSH MEDICAL PRACTICE,RFS
C81092,EVELYN MEDICAL CENTRE,RFS
C81094,CRICH MEDICAL PRACTICE,RFS
C81095,EMMETT CARR SURGERY,RFS
C81096,CRAG'S HEALTH CARE,RFS
C81097,COLLEGE STREET MEDICAL PRACTICE,RFS
C81099,LIMES MEDICAL CENTRE,RFS
C81101,LIME GROVE MEDICAL CENTRE,RFS
C81104,OVERSEAL SURGERY,RFS
C81106,LAMBGATES HEALTH CENTRE,RFS
C81108,MELBOURNE & CHELLASTON MEDICAL PRACTICE,RFS
C81110,WELLBROOK MEDICAL CENTRE,RFS
C81113,MICKLEOVER SURGERY,RFS
C81114,GRESLEYDALE HEALTHCARE CENTRE,RFS
C81115,GLADSTONE HOUSE SURGERY,RFS
C81118,DERBY FAMILY MEDICAL CENTRE,RFS
C81604,EDEN SURGERY,RFS
C81611,ASHOVER MEDICAL CENTRE,RFS
C81615,COTTAGE LANE SURGERY,RFS
C81616,PEARTREE MEDICAL CENTRE,RFS
C81634,ARDEN HOUSE MEDICAL PRACTICE,RFS
C81638,CASTLE STREET MEDICAL CENTRE,RFS
C81640,SIMMONDLEY MEDICAL PRACTICE,RFS
C81642,PARK VIEW MEDICAL CENTRE,RFS
Y03042,ADDACTION DERBYSHIRE ALCOHOL SERVICE,RFS
Y01994,DERBY URGENT TREATMENT CENTRE,RFS
Y02442,ST THOMAS ROAD SURGERY,RFS
Y02490,THREE VALLEY HEALTHCARE,RFS
H83001,PORTLAND MEDICAL CENTRE,RJ7
H83004,THE FARLEY ROAD MEDICAL PRACTICE,RJ7
H83005,UPPER NORWOOD GROUP PRACTICE,RJ7
H83006,NEW ADDINGTON GROUP PRACTICE,RJ7
H83007,VIOLET LANE MEDICAL PRACTICE,RJ7
H83008,THE ADDISCOMBE SURGERY,RJ7
H83009,NORBURY HEALTH CENTRE (02),RJ7
H83010,SOUTH NORWOOD HILL MEDICAL CENTRE,RJ7
H83011,NORTH CROYDON MEDICAL CENTRE,RJ7
H83012,ST. JAMES'S MEDICAL CENTRE,RJ7
H83013,OLD COULSDON MEDICAL PRACTICE,RJ7
H83014,QUEENHILL MEDICAL PRACTICE,RJ7
H83015,PARKSIDE GROUP PRACTICE,RJ7
H83016,KESTON MEDICAL PRACTICE,RJ7
H83017,BRIGSTOCK & SOUTH NORWOOD PARTNERSHIP,RJ7
H83018,SELSDON PARK MEDICAL PRACTICE,RJ7
H83019,FRIENDS ROAD MEDICAL PRACTICE,RJ7
H83020,EVERSLEY MEDICAL CENTRE,RJ7
H83021,LONDON ROAD MEDICAL PRACTICE,RJ7
H83022,THORNTON HEATH HEALTH CENTRE,RJ7
H83023,MORLAND ROAD SURGERY,RJ7
H83024,WOODCOTE MEDICAL,RJ7
H83027,PARKWAY HEALTH CENTRE (01),RJ7
H83028,ADDINGTON MEDICAL PRACTICE,RJ7
H83029,HARTLAND WAY SURGERY,RJ7
H83030,BROOM ROAD MEDICAL PRACTICE,RJ7
H83031,THE HALING PARK PARTNERSHIP,RJ7
H83033,ASHBURTON PARK MEDICAL CENTRE,RJ7
H83034,THE WHITEHORSE PRACTICE,RJ7
H83037,AUCKLAND SURGERY,RJ7
H83039,STOVELL HOUSE SURGERY,RJ7
H83040,MITCHLEY AVENUE SURGERY,RJ7
H83042,LEANDER ROAD SURGERY,RJ7
H83043,SHIRLEY MEDICAL CENTRE,RJ7
H83044,EAST CROYDON MEDICAL CENTRE,RJ7
